Time,Str,Amp,BodyE,SizzleE,Total,GeoMean,SustainMs,Status
29.884,0.692,0.013,1.9,35.3,37.2,8.3,16.6,REJECTED
30.081,0.730,0.016,5.6,66.0,71.6,19.3,50.5,KEPT
30.267,0.482,0.003,1.3,10.0,11.3,3.6,23.9,REJECTED
30.453,1.000,0.297,73.2,1106.5,1179.7,284.6,27.2,KEPT
30.639,0.494,0.011,1.1,20.8,21.9,4.8,29.4,KEPT
30.824,0.909,0.097,33.1,472.0,505.0,125.0,38.5,KEPT
31.010,0.457,0.022,2.6,53.5,56.1,11.8,29.7,KEPT
31.208,0.653,0.051,25.1,260.6,285.8,80.9,37.7,KEPT
31.382,0.518,0.009,0.4,25.3,25.7,3.2,22.2,REJECTED
31.579,0.829,0.056,11.5,255.0,266.5,54.2,46.2,KEPT
31.753,0.883,0.216,198.2,2102.9,2301.1,645.6,186.3,KEPT
32.136,0.604,0.009,2.0,34.3,36.2,8.2,20.2,REJECTED
32.334,0.825,0.127,17.7,478.5,496.2,92.1,42.4,KEPT
32.508,0.428,0.013,0.7,33.0,33.7,4.9,27.4,KEPT
32.694,0.912,0.111,29.0,450.3,479.3,114.3,53.4,KEPT
